adm2_en,month,NO2,date
Maguindanao del Norte,2020-11,4.133037738087683e-05,2020-11-01T00:00:00
Maguindanao del Sur,2020-11,4.3462319376331376e-05,2020-11-01T00:00:00
Davao de Oro,2020-12,3.726831770182409e-05,2020-12-01T00:00:00
Davao Occidental,2020-12,3.559975981338931e-05,2020-12-01T00:00:00
Cotabato,2020-12,3.958010238343571e-05,2020-12-01T00:00:00
Maguindanao del Norte,2020-12,3.8309940810579366e-05,2020-12-01T00:00:00
Maguindanao del Sur,2020-12,3.974221244621332e-05,2020-12-01T00:00:00
Davao de Oro,2021-01,3.1325193192233847e-05,2021-01-01T00:00:00
Davao Occidental,2021-01,3.17324474711536e-05,2021-01-01T00:00:00
Cotabato,2021-01,3.576100872851933e-05,2021-01-01T00:00:00
Maguindanao del Norte,2021-01,3.4363397475103865e-05,2021-01-01T00:00:00
Maguindanao del Sur,2021-01,3.710808880938959e-05,2021-01-01T00:00:00
Davao de Oro,2021-02,3.44066104962499e-05,2021-02-01T00:00:00
Davao Occidental,2021-02,3.297413331554726e-05,2021-02-01T00:00:00
Cotabato,2021-02,3.607691662417559e-05,2021-02-01T00:00:00
Maguindanao del Norte,2021-02,3.538990955703493e-05,2021-02-01T00:00:00
Maguindanao del Sur,2021-02,3.733142136301905e-05,2021-02-01T00:00:00
Davao de Oro,2021-03,3.533990565270642e-05,2021-03-01T00:00:00
Davao Occidental,2021-03,3.395576395185637e-05,2021-03-01T00:00:00
Cotabato,2021-03,3.773020045934644e-05,2021-03-01T00:00:00
Maguindanao del Norte,2021-03,3.6939485397218825e-05,2021-03-01T00:00:00
Maguindanao del Sur,2021-03,3.871025063890457e-05,2021-03-01T00:00:00
Davao de Oro,2021-04,4.12752159325374e-05,2021-04-01T00:00:00
Davao Occidental,2021-04,3.973325659418066e-05,2021-04-01T00:00:00
Cotabato,2021-04,4.139547531963739e-05,2021-04-01T00:00:00
Maguindanao del Norte,2021-04,4.0357396416217885e-05,2021-04-01T00:00:00
Maguindanao del Sur,2021-04,4.32011532980587e-05,2021-04-01T00:00:00
Davao de Oro,2021-05,4.099629153249621e-05,2021-05-01T00:00:00
Davao Occidental,2021-05,3.700347081118745e-05,2021-05-01T00:00:00
Cotabato,2021-05,4.301414344225495e-05,2021-05-01T00:00:00
Maguindanao del Norte,2021-05,4.35690425175743e-05,2021-05-01T00:00:00
Maguindanao del Sur,2021-05,4.446039840696285e-05,2021-05-01T00:00:00
Davao de Oro,2021-06,4.164551600130496e-05,2021-06-01T00:00:00
Davao Occidental,2021-06,4.110214879207191e-05,2021-06-01T00:00:00
Cotabato,2021-06,4.408643791644292e-05,2021-06-01T00:00:00
Maguindanao del Norte,2021-06,4.354974758274688e-05,2021-06-01T00:00:00
Maguindanao del Sur,2021-06,4.538628796086139e-05,2021-06-01T00:00:00
Davao de Oro,2021-07,4.493901118201517e-05,2021-07-01T00:00:00
Davao Occidental,2021-07,4.238750771946413e-05,2021-07-01T00:00:00
Cotabato,2021-07,4.625951426851312e-05,2021-07-01T00:00:00
Maguindanao del Norte,2021-07,4.537512385747828e-05,2021-07-01T00:00:00
Maguindanao del Sur,2021-07,4.68402140174558e-05,2021-07-01T00:00:00
Davao de Oro,2021-08,4.228363126665606e-05,2021-08-01T00:00:00
Davao Occidental,2021-08,4.144350628024516e-05,2021-08-01T00:00:00
Cotabato,2021-08,4.5460188196516586e-05,2021-08-01T00:00:00
Maguindanao del Norte,2021-08,4.48498585173339e-05,2021-08-01T00:00:00
Maguindanao del Sur,2021-08,4.68116638726782e-05,2021-08-01T00:00:00
Davao de Oro,2021-09,4.261647458771405e-05,2021-09-01T00:00:00
Davao Occidental,2021-09,4.316050885355417e-05,2021-09-01T00:00:00
Cotabato,2021-09,4.5908086743743714e-05,2021-09-01T00:00:00
Maguindanao del Norte,2021-09,4.515672449221297e-05,2021-09-01T00:00:00
Maguindanao del Sur,2021-09,4.708304951341263e-05,2021-09-01T00:00:00
Davao de Oro,2021-10,4.175869911467181e-05,2021-10-01T00:00:00
Davao Occidental,2021-10,4.1736778022229787e-05,2021-10-01T00:00:00
Cotabato,2021-10,4.4973440190710046e-05,2021-10-01T00:00:00
Maguindanao del Norte,2021-10,4.487363008648016e-05,2021-10-01T00:00:00
Maguindanao del Sur,2021-10,4.671847272792185e-05,2021-10-01T00:00:00
Davao de Oro,2021-11,3.972065788110658e-05,2021-11-01T00:00:00
Davao Occidental,2021-11,4.002056400659055e-05,2021-11-01T00:00:00
Cotabato,2021-11,4.306484596223106e-05,2021-11-01T00:00:00
Maguindanao del Norte,2021-11,4.202185170161474e-05,2021-11-01T00:00:00
Maguindanao del Sur,2021-11,4.398272723862982e-05,2021-11-01T00:00:00
